HOUSEID,VARSTRAT,WTHHFIN,DRVRCNT,CDIVMSAR,CENSUS_D,CENSUS_R,HH_HISP,HH_RACE,HHFAMINC,HHRELATD,HHRESP,HHSIZE,HHSTATE,HHSTFIPS,HHVEHCNT,HOMEOWN,HOMETYPE,MSACAT,MSASIZE,NUMADLT,RAIL,RESP_CNT,SCRESP,TRAVDAY,URBAN,URBANSIZE,URBRUR,WRKCOUNT,TDAYDATE,FLAG100,LIF_CYC,CNTTDHH,HBHUR,HTRESDN,HTHTNRNT,HTPPOPDN,HTEEMPDN,HBRESDN,HBHTNRNT,HBPPOPDN,HH_CBSA,HHC_MSA
20019121,53,720.15103258,2,54,05,03,02,01,02,-1,01,2,GA,13,2,02,04,04,06,2,02,1,-1,06,04,06,02,1,200903,02,02,8,TC,50,20,50,25,50,20,50,XXXXX,-1
20019194,6,1970.6140426,0,21,02,01,01,06,-8,-1,01,2,NY,36,0,02,03,01,05,2,01,1,-1,05,01,05,01,0,200810,02,02,0,U,30000,95,30000,5000,30000,90,30000,35620,5602
20019215,39,649.86626315,5,53,05,03,02,01,18,-1,01,5,FL,12,4,01,01,03,02,4,02,5,-1,03,01,02,01,4,200902,01,08,18,C,1500,20,3000,1500,1500,5,3000,XXXXX,XXXX
20019327,97,1585.5195025,1,53,05,03,02,02,12,-1,01,1,SC,45,2,01,01,03,03,1,02,1,01,04,01,02,01,1,200807,01,01,2,S,750,30,3000,750,750,20,3000,XXXXX,XXXX
20019336,98,169.17191697,1,23,02,01,02,01,08,-1,01,1,NY,36,1,02,03,03,03,1,02,1,01,07,01,03,01,0,200808,01,09,9,S,3000,50,7000,3000,3000,40,7000,XXXXX,XXXX
20019420,91,262.07781274,1,73,07,03,01,01,10,-1,01,1,TX,48,1,01,01,03,02,1,02,1,01,02,01,01,01,0,200901,01,09,8,S,1500,30,7000,5000,1500,20,3000,XXXXX,XXXX
20020079,28,291.56664858,2,52,05,03,02,01,17,-1,01,2,FL,12,2,01,01,02,04,2,02,2,-1,05,01,04,01,1,200811,01,02,2,S,1500,5,3000,750,1500,20,7000,36740,5960
20020248,17,1495.3939353,4,51,05,03,02,01,11,-1,01,5,GA,13,3,01,01,01,05,3,01,5,-1,07,04,06,02,3,200808,01,06,25,TC,50,30,50,25,50,20,50,12060,0520
20020846,5,881.76475768,3,52,05,03,01,01,17,-1,01,3,FL,12,3,01,01,02,04,3,02,3,-1,01,01,01,01,1,200901,01,10,7,S,750,40,3000,750,750,40,3000,36740,5960
20020864,53,1.5883551278,1,52,05,03,02,01,18,-1,01,1,NC,37,3,01,01,02,04,1,02,1,-1,03,01,02,01,0,200812,01,09,6,TC,300,5,300,75,300,0,750,XXXXX,3120
20020976,32,193.21366979,3,92,09,04,01,07,06,-1,01,4,CA,06,2,01,01,02,04,4,02,4,-1,03,01,04,01,1,200810,01,10,4,U,7000,70,17000,3000,7000,70,30000,41740,7320
20021227,34,2657.7426489,3,93,09,04,01,07,03,-1,01,6,CA,06,3,02,03,03,02,4,02,5,-1,01,04,06,02,2,200902,02,06,26,TC,50,40,50,25,50,30,50,XXXXX,XXXX
20021870,29,464.50342239,0,93,09,04,02,02,04,-1,01,1,CA,06,1,01,01,03,02,1,02,1,01,04,01,01,01,0,200902,01,09,0,C,3000,70,17000,3000,3000,50,17000,XXXXX,XXXX
20021889,66,8909.6556923,2,21,02,01,02,01,18,-1,01,2,PA,42,2,01,02,01,05,2,01,2,-1,03,01,05,01,2,200805,01,02,2,S,1500,30,7000,1500,3000,50,7000,37980,6162
20022251,40,36.876007836,1,52,05,03,02,01,05,-1,01,1,NC,37,1,01,02,02,04,1,02,1,01,05,04,06,02,0,200903,01,09,6,TC,300,20,750,750,300,20,750,XXXXX,3120
20023100,31,117.28100889,2,21,02,01,02,01,15,-1,01,2,NY,36,3,01,02,01,05,2,01,2,-1,05,01,02,01,2,200807,01,02,4,TC,300,5,750,150,300,5,300,XXXXX,5602
20023230,12,255.00367057,2,72,07,03,02,01,16,-1,01,4,TX,48,2,01,01,02,04,2,02,3,-1,07,01,03,01,2,200902,01,04,11,S,1500,0,3000,750,750,0,3000,12420,0640
20023717,1,20.665548161,2,52,05,03,02,01,17,-1,01,2,NC,37,3,01,01,02,04,2,02,1,-1,06,01,01,01,0,200904,02,02,10,TC,300,40,750,350,300,30,1500,XXXXX,3120
20024170,24,239.68737709,2,52,05,03,02,01,18,-1,01,2,FL,12,2,01,01,02,04,2,02,2,-1,02,01,03,01,1,200808,01,02,2,S,300,20,1500,150,300,20,1500,27260,3600
20024442,82,40.673942513,2,92,09,04,02,01,18,-1,01,4,CA,06,3,01,01,02,04,2,02,4,-1,02,01,04,01,1,200808,01,06,15,S,3000,20,7000,750,3000,20,7000,41740,7320
20024451,12,306.05850079,3,52,05,03,02,01,15,-1,01,4,FL,12,4,01,01,02,04,3,02,4,-1,05,01,04,01,1,200901,01,08,0,U,1500,20,3000,3000,1500,20,3000,45300,8280
20024947,62,60.618470762,2,52,05,03,02,01,07,-1,01,3,VA,51,2,01,01,02,04,2,02,3,-1,05,04,06,02,1,200904,01,06,9,TC,50,20,300,150,50,5,50,47260,5720
20024992,6,99.103861468,2,53,05,03,02,01,12,-1,01,2,NC,37,2,01,01,03,01,2,02,2,-1,02,01,01,01,0,200901,01,10,11,C,3000,70,7000,750,3000,60,7000,XXXXX,XXXX
20025458,76,552.06483316,2,21,02,01,02,02,05,-1,01,7,NY,36,2,02,02,01,05,2,01,7,-1,04,01,02,01,2,200812,01,06,20,TC,50,95,300,150,50,95,300,XXXXX,5602
20025579,31,20.021899648,2,53,05,03,02,01,05,-1,01,2,SC,45,2,01,01,03,03,2,02,2,-1,03,01,01,01,1,200808,01,10,4,C,750,40,1500,750,750,50,1500,XXXXX,XXXX
20025663,41,152.05159225,1,92,09,04,02,02,-8,-1,01,1,CA,06,2,01,03,02,04,1,02,1,01,04,01,04,01,0,200806,01,09,3,U,17000,90,30000,5000,17000,90,30000,41740,7320
20025784,8,175.54338561,2,93,09,04,02,01,10,-1,01,2,CA,06,3,01,01,03,03,2,02,2,-1,03,04,06,02,0,200812,01,10,2,TC,50,20,50,25,50,20,50,XXXXX,XXXX
20026053,51,413.96293449,1,92,09,04,02,05,12,-1,01,2,CA,06,1,02,03,02,04,2,02,2,-1,07,01,04,01,1,200903,01,02,10,U,7000,80,17000,3000,7000,80,17000,41740,7320
20026482,82,295.75704725,2,53,05,03,02,02,12,-1,01,2,FL,12,3,01,01,03,02,2,02,1,-1,02,04,06,02,1,200808,02,02,4,TC,50,20,300,25,50,20,300,XXXXX,XXXX
20026549,92,18.948850977,4,21,02,01,02,01,14,-1,01,6,NY,36,4,01,01,01,05,4,01,5,-1,03,01,05,01,3,200901,01,04,10,TC,300,5,1500,750,300,5,1500,35620,5602
